Name,URL,Created_at,Star,Last commit
atulkum/pointer_summarizer,https://github.com/atulkum/pointer_summarizer,2018-04-16T04:54:08Z,853,2022-11-20T05:13:59Z
IlyaGusev/summarus,https://github.com/IlyaGusev/summarus,2018-11-25T17:07:26Z,149,2022-07-03T19:02:08Z
Pattio/DeepSwarm,https://github.com/Pattio/DeepSwarm,2018-12-31T14:06:41Z,288,2021-03-25T22:37:52Z
ICLRandD/Blackstone,https://github.com/ICLRandD/Blackstone,2019-03-25T11:18:33Z,576,2021-06-28T09:40:06Z
atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03T15:44:35Z,553,2023-01-05T18:34:33Z
chuanenlin/optical-flow,https://github.com/chuanenlin/optical-flow,2019-03-28T04:12:47Z,113,2021-09-27T03:19:10Z
Acellera/moleculekit,https://github.com/Acellera/moleculekit,2019-03-28T10:51:36Z,127,2022-12-23T14:12:06Z
megvii-research/ICCV2019-LearningToPaint,https://github.com/megvii-research/ICCV2019-LearningToPaint,2019-03-11T03:56:03Z,2160,2022-09-26T07:13:24Z
lukasruff/Deep-SVDD-PyTorch,https://github.com/lukasruff/Deep-SVDD-PyTorch,2018-10-15T08:59:57Z,543,2022-12-08T01:19:26Z
autonomio/talos,https://github.com/autonomio/talos,2018-05-04T20:36:41Z,1573,2022-09-18T16:01:21Z
PhantomInsights/summarizer,https://github.com/PhantomInsights/summarizer,2019-02-10T20:58:37Z,250,2022-03-02T22:15:25Z
prashnani/PerceptualImageError,https://github.com/prashnani/PerceptualImageError,2018-06-06T05:29:40Z,163,2021-09-14T22:05:17Z
yuanming-hu/exposure,https://github.com/yuanming-hu/exposure,2018-02-18T16:25:46Z,719,2021-08-27T12:12:15Z
CyberZHG/keras-gpt-2,https://github.com/CyberZHG/keras-gpt-2,2019-02-18T06:33:45Z,127,2022-01-22T11:44:25Z
salesforce/decaNLP,https://github.com/salesforce/decaNLP,2018-06-20T06:19:43Z,2283,2022-10-26T06:45:48Z
onnx/sklearn-onnx,https://github.com/onnx/sklearn-onnx,2018-12-18T20:18:48Z,397,2023-01-04T17:59:07Z
yeyupiaoling/LearnPaddle2,https://github.com/yeyupiaoling/LearnPaddle2,2018-10-12T07:38:56Z,147,2021-04-02T15:54:10Z
huochaitiantang/pytorch-deep-image-matting,https://github.com/huochaitiantang/pytorch-deep-image-matting,2018-08-13T04:40:25Z,288,2022-11-22T02:54:27Z
Cartus/AGGCN,https://github.com/Cartus/AGGCN,2019-05-24T07:59:48Z,406,2022-03-22T18:07:16Z
CVxTz/EEG_classification,https://github.com/CVxTz/EEG_classification,2018-09-27T18:27:03Z,107,2022-06-21T21:26:20Z
richzhang/PerceptualSimilarity,https://github.com/richzhang/PerceptualSimilarity,2018-01-11T01:43:21Z,2610,2022-12-24T21:19:08Z
dirty-cat/dirty_cat,https://github.com/dirty-cat/dirty_cat,2018-03-12T23:32:22Z,637,2023-01-05T21:32:02Z
wmylxmj/Anime-Super-Resolution,https://github.com/wmylxmj/Anime-Super-Resolution,2019-04-30T07:37:40Z,119,2021-03-15T04:44:23Z
kLabUM/rrcf,https://github.com/kLabUM/rrcf,2018-10-20T05:39:05Z,415,2021-01-13T23:05:23Z
wotchin/SmooFaceEngine,https://github.com/wotchin/SmooFaceEngine,2018-04-23T09:22:21Z,103,2022-01-19T02:41:52Z
ZhixiuYe/Intra-Bag-and-Inter-Bag-Attentions,https://github.com/ZhixiuYe/Intra-Bag-and-Inter-Bag-Attentions,2019-02-26T04:28:52Z,112,2021-07-20T01:55:08Z
weihua916/powerful-gnns,https://github.com/weihua916/powerful-gnns,2018-12-26T18:37:44Z,981,2021-07-01T16:45:36Z
Tiiiger/SGC,https://github.com/Tiiiger/SGC,2019-01-30T05:50:17Z,727,2021-12-13T17:45:43Z
